"HolderAddress","Quantity","PendingBalanceUpdate"
"0xcce0da84f6b6a843a75e1d395ca55bc1dcdebabe","35","No"
"0xbe87506c44dde7b056162d7c17b2ff7bc665092d","35","No"
"0x7db88d98aa0ad2244bc4fabe47c4287b7ce9dc2e","34","No"
"0x9c573151a4484494461773c4b86c76e93472eae5","34","No"
"0xf72d0c88c56f8aaf6ac59653168206a39ccb673a","34","No"
"0xee6c940413b24da8a3e9285a3b7cf86a5c667ce8","34","No"
"0xea94dace59ede50c55d53cc90c26d8ec4ff0b685","33","No"
"0xf73a16d3bf655433150555150eaf6ce34eee96c4","33","No"
"0xd70e8bd2f0356b18398f308b3b204898c0cd29aa","32","No"
"0xa3d42405f2c8057a6b40757a77248a7856bfdc76","32","No"
"0x99079745001f861ce5e0c1a27f8e4ebe55cac12c","32","No"
"0xd30b3a727f48e916074902469ad88ee5ab37bbce","32","No"
"0x417abe95be413d5f76b5029c009f45fef10f583a","31","No"
"0x32060bc66cbb6575b4c788f600d49f50c7b5969e","31","No"
"0xd36321fd7bab4c48a3ff1a422e974684ef47132f","30","No"
"0x64afcb3f7c79fdbf67ff6d41635c95b60dd39fcc","30","No"
"0xf105f1cb5d6575527a1e1908141ddaaae359e9bb","30","No"
"0x1db721fe1dd8c340ff2e131f596972b773fb69e9","30","No"
"0xcfa04003bb15c6f610cf42a467bff4b1f49aac4e","30","No"
"0x310a785a2e595e7874e8249c9dc197b2cf6c258e","30","No"
"0x5ea4373ae9a912dc075f62b4cb3ef4b7fd5a4fbe","30","No"
"0x17c5eeac6f9f9bd19c6f76851e35dfcce47f4af4","30","No"
"0x1aa46906267df32f90a406b707b26719aa112c9e","30","No"
"0xe92d6cd0caedfd960db31260265cd1dbcda3358c","30","No"
"0x5d35216b2e086004c6902313c8dd7721c5ebf091","30","No"
"0x3540690b1d60e3e78eb01d51a4ceea482bd4e4eb","30","No"
"0xe84c01208c4868d5615fccf0b98f8c90f460d2b6","30","No"
"0xab4fa35b93156b9e492635ae149886026d315855","30","No"
"0x7dae4759cd571b55669ff1bcc44c8354ef959f33","30","No"
"0xae201991cb3901aa29f3f28074bd70ea8233988a","30","No"
"0x49c233d25768e462f0474390f653baf40dd592b2","30","No"
"0xdc583a3d6acfaf7f69f11e6c2d97b150b29d8752","30","No"
"0xc82819f8b78e1f667b64a47911b0ab87063df661","30","No"
"0x0529db93f2d36128dab300fd24f0dbcc48fecfb8","30","No"
"0xb1a9c9785f0af0978b61d7f1eb18216b23d340a2","30","No"
"0x4a3c28eda4c96e0df55b5dd0b1c0e2834c5fd3ec","30","No"
"0x48a5a6a01ba89cddf97d2d552923d5a11401ed19","30","No"
"0x79745ca8933265991ff1f9ae139b4a2449c66060","30","No"
